word,count
the,8123
and,6847
of,5130
to,4515
in,3091
is,2963
they,2917
allah,2901
,2591
a,2438
for,2347
that,2332
them,2176
he,2082
ye,2014
who,1979
will,1968
we,1883
but,1697
their,1598
it,1590
not,1569
you,1453
be,1426
those,1412
with,1263
from,1207
have,1183
are,1173
his,1068
on,1047
him,1033
lord,960
all,937
if,925
or,870
as,823
your,812
say,776
do,773
thou,769
then,744
said,711
when,691
i,666
what,666
no,666
this,663
shall,659
thee,615
which,606
by,590
our,551
so,542
one,529
day,529
my,521
there,519
people,511
thy,509
us,471
believe,470
has,443
me,429
earth,418
were,415
nor,402
was,396
things,379
most,372
men,370
before,359
any,351
may,350
had,341
signs,339
did,339
sent,327
truth,321
indeed,320
such,315
among,312
verily,311
out,310
whom,310
hath,300
would,289
made,287
good,274
fear,273
evil,267
faith,261
against,257
an,256
down,251
come,249
been,247
give,246
see,240
than,239
sura,237
other,233
messenger,233
can,232
should,230
penalty,229
up,228
know,225
life,214
at,211
after,210
man,208
therein,208
only,207
turn,207
some,204
book,202
fire,201
heavens,200
make,195
back,194
power,193
behold,193
over,191
away,187
own,187
its,186
into,183
unto,181
except,180
knowledge,178
reject,177
moses,175
unbelievers,175
right,174
deeds,170
truly,170
let,165
way,164
mercy,164
how,163
even,162
hearts,161
themselves,161
doth,160
reward,158
every,157
take,157
thus,155
like,154
between,154
best,154
full,153
created,153
call,149
clear,148
never,147
forth,146
these,142
given,139
allahs,139
worship,138
follow,138
wrong,136
about,136
well,135
punishment,134
guidance,133
each,133
messengers,133
more,133
came,132
judgment,126
nothing,124
ask,123
nay,122
two,120
without,119
merciful,118
hereafter,118
cause,118
believers,117
yet,117
now,117
righteous,117
message,116
bring,115
leave,115
because,114
true,112
am,110
time,109
night,109
order,107
none,107
her,107
certainly,107
until,105
art,104
whose,101
besides,101
yourselves,101
rejected,101
through,100
another,100
might,99
women,98
path,97
knoweth,97
witness,97
exalted,96
prayer,95
soul,95
put,95
servants,94
help,93
upon,93
sign,93
could,92
gave,92
command,92
find,92
ones,91
brought,91
soon,91
angels,89
grievous,88
land,88
wisdom,87
send,87
god,87
together,87
receive,86
show,85
while,85
place,85
pharaoh,85
word,85
understand,84
others,83
ever,83
hands,83
account,83
hell,83
children,82
light,82
end,82
quran,81
righteousness,81
companions,81
souls,81
great,80
return,80
death,80
gardens,80
world,80
knows,80
grace,79
many,79
also,79
turned,78
why,77
remember,77
forgiveness,77
hast,76
wilt,76
garden,76
better,76
she,76
guide,76
abraham,75
set,75
work,75
deny,75
mankind,74
